O-antigen,Structure,sugar
O1 A,->3)aLRha(1->3)aLRha(1->3)bLRha(1->4)bDGlcNAc(1-> | bDManNAc(1->2),aLRha|bDGlcNAc|bLRha
O1 A1,->3)aLRha(1->3)aLRha(1->3)bLRha(1->4)bDGlcNAc(1-> | bDManNAc(1->2),aLRha|bDGlcNAc|bLRha
O1 B,->3)aLRha(1->2)aLRha(1->2)aDGal(1->3)bDGlcNAc(1-> | bDManNAc(1->2),aDGal|aLRha|bDGlcNAc
O1 C,->3)aLRha(1->2)aLRha(1->3)aDGal(1->3)bDGlcNAc(1-> | bDManNAc(1->2),aDGal|aLRha|bDGlcNAc
O2,->3)aLRha(1->2)aLRha(1->3)bLRha(1->4)bDGlcNAc(1-> | aDFuc3NAc(1->2),aLRha|bDGlcNAc|bLRha
O3,bLRhaNAc(1->4) aDGlc(1->4) | ->3)bDGlcNAc(1->3)aDGal(1->3)bDGlcNAc(1->, aDGlc|aDGal|bDGlcNAc
O4,->2)aLRha(1->6)aDGlc(1->3)aLFucNAc(1->3)bDGlcNAc(1->,aDGlc|aLFucNAc|aLRha|bDGlcNAc
O4,aDGlc(1->3) | ->2)aLRha(1->6)aDGlc(1->3)aLFucNAc(1->3)bDGlcNAc(1->,aDGlc|aLFucNAc|aLRha|bDGlcNAc
O5 ab,->4)bDQui3NAc(1->3)bDRibf(1->4)bDGal(1->3)aDGalNAc(1->,aDGalNAc|bDGal|bDQui3NAc|bDRibf
O5 ac,->2)bDQui3NAc(1->3)bDRibf(1->4)bDGal(1->3)aDGalNAc(1->,aDGalNAc|bDGal|bDQui3NAc|bDRibf
O6,->4)aDGalNAc(1->3)bDMan(1->4)bDMan(1->3)aDGlcNAc(1-> | bDGlc(1->2),aDGalNAc|aDGlcNAc|bDMan
O6,->4)aDGalNAc(1->3)bDMan(1->4)bDMan(1->3)aDGlcNAc(1-> | bDGlcNAc(1->2),aDGalNAc|aDGlcNAc|bDMan
O6,->4)aDGalNAc(1->3)bDMan(1->4)bDMan(1->3)aDGlcNAc(1-> | bDGlc(1->2),aDGalNAc|aDGlcNAc|bDMan
O7,aLRha(1->3) | ->3)bDQui4NAc(1->2)aDMan(1->4)bDGal(1->3)aDGlcNAc(1->,aDGlcNAc|aDMan|bDGal|bDQui4NAc
O8,->3)bDMan(1->2)aDMan(1->2)aDMan(1->,aDMan|bDMan
O9,->3)aDMan(1->3)aDMan(1->2)aDMan(1->2)aDMan(1->2)aDMan(1->,aDMan
O9 a,->3)aDMan(1->3)aDMan(1->2)aDMan(1->2)aDMan(1->,aDMan
O10,->3)aLRha(1->3)aLRha(1->3)aDGal(1->3)bDGlcNAc(1-> | aDFuc4NBuR3OH(1->2),aDGal|aLRha|bDGlcNAc
O11,->4)aDGalNAc(1->6)aDMan(1->3)aLFuc(1->3)bDGalNAc(1-> | aLFuc(1->3),aDGalNAc|aDMan|aLFuc|bDGalNAc
O12,->2)bDGlc(1->6)aDGlcNAc(1->3)aLFucNAc(1->3)bDGlcNAc(1->,aDGlcNAc|aLFucNAc|bDGlc|bDGlcNAc
O13,aDGlc(1->2) | ->2)aLRha(1->2)aLRha(1->3)aLRha(1->3)bDGlcNAc(1->,aLRha|bDGlcNAc
O14,,
O15,->2)bDGal(1->3)aLFucNAc(1->3)bDGlcNAc(1->,aLFucNAc|bDGal|bDGlcNAc
O16,aDGlc(1->6) | ->2)bDGalf(1->6)aDGlc(1->3)aLRha2Ac(1->3)aDGlcNAc(1->,aDGlc|aDGlcNAc|aLRha2Ac|bDGalf
O16,->2)bDGalf(1->6)aDGlc(1->3)aLRha(1->3)aDGlcNAc(1->,aDGlc|aDGlcNAc|aLRha|bDGalf
O16,->2)bDGalf(1->6)aDGlc(1->3)aLRha2Ac(1->3)aDGlcNAc(1->,aDGlc|aDGlcNAc|aLRha2Ac|bDGalf
O17,aDGlc(1->6) | ->6)aDMan(1->2)aDMan(1->2)bDMan(1->3)aDGlcNAc(1->,aDGlcNAc|aDMan|bDMan
O18 A,->2)aLRha(1->6)aDGlc(1->4)aDGal(1->3)aDGlcNAc(1-> | bDGlcNAc(1->3),aDGal|aDGlc|aDGlcNAc|aLRha
O18 A1,aDGlc(1->6) | ->2)aLRha(1->6)aDGlc(1->4)aDGal(1->3)aDGlcNAc(1-> | bDGlcNAc(1->3,aDGal|aDGlc|aDGlcNAc|aLRha
O18 A1A2,bDGlc/bDGlcNAc(1->3) (6<-1)aDGlc | ->2)aLRha(1->6)aDGlc(1->4)aDGal(1->3)aDGlcNAc(1->, |aDGal|aDGlc|aDGlcNAc|aLRha
O18 ab,->3)aLRha(1->6)aDGlc(1->4)aDGal(1->3)aDGlcNAc(1-> | bDGlc(1->3),aDGal|aDGlc|aDGlcNAc|aLRha
O18 ac,->2)aLRha(1->6)aDGlc(1->4)aDGal(1->3)aDGlcNAc(1-> | bDGlcNAc(1->3),aDGal|aDGlc|aDGlcNAc|aLRha
O18 B,->3)aLRha(1->6)aDGlc(1->4)aDGal(1->3)aDGlcNAc(1-> | bDGlc(1->3),aDGal|aDGlc|aDGlcNAc|aLRha
O18 B1,aDGlc(1->4) | ->3)aLRha(1->6)aDGlc(1->4)aDGal(1->3)aDGlcNAc(1-> | bDGlc(1->3),aDGal|aDGlc|aDGlcNAc|aLRha
O19 ab,->2)aLRha(1->2)aLRha(1->2)aLRha(1->2)aDGlc(1->3)aDGlcNAc6Ac(1->,aDGlc|aDGlcNAc6Ac|aLRha
O20 ab,->2)bDRibf(1->4)aDGal(1->,aDGal|bDRibf
O20 ac,aDGal(1->3) | ->2)bDRibf(1->4)aDGal(1->... O21,aDGal|bDRibf
O21,bDGal(1->4) | ->3)bDGal(1->4)bDGlc(1->3)bDGalNAc(1-> | bDGlcNAc(1->2),bDGal|bDGalNAc|bDGlc
O22,->6)aDGlc(1->4)bDGlcA(1->4)bDGalNAc3Ac(1->3)aDGal(1->3)bDGalNAc(1->,aDGal|aDGlc|bDGalNAc|bDGalNAc3Ac|bDGlcA
O23 A,aDGlc(1->6) | ->6)aDGlc(1->4)bDGal(1->3)aDGalNAc(1->3)bDGlcNAc(1-> | bDGlcNAc(1->3),aDGalNAc|aDGlc|bDGal|bDGlcNAc
O24,->7)aNeu5Ac(2->3)bDGlc(1->3)bDGalNAc(1-> | aDGlc(1->2),aNeu5Ac|bDGalNAc|bDGlc
O25,bDGlc(1->6) | ->4)aDGlc(1->3)aLFucNAc(1->3)bDGlcNAc(1-> | aLRha(1->3),aDGlc|aLFucNAc|bDGlcNAc
O25 B,bDGlc(1->6) | ->4)aDGlc(1->3)aLRha2Ac(1->3)bDGlcNAc(1-> | aLRha(1->3),aDGlc|aLRha2Ac|bDGlcNAc
O26,->3)aLRha(1->4)aLFucNAc(1->3)bDGlcNAc(1->,aLFucNAc|aLRha|bDGlcNAc
O27,bDGlc(1->2) bDGlc(1->6) | ->4)aDGal(1->6)bDGlc(1->3)bDGalNAc(1-> | bDGlcA3/4Ac(1->3), bDGlc|aDGal|bDGalNAc|bDGlc
O28 ab,->3)bDGlc(1->3)DGro(1-P-4)bDGlcNAc(1->3)aDGlcNAc(1->,DGro|aDGlcNAc|bDGlc|bDGlcNAc
O28 ac,->2)DGro(1-P-4)bDGlcNAc(1->3)bDGalf2Ac(1->3)aDGlcNAc(1->,DGro|aDGlcNAc|bDGalf2Ac|bDGlcNAc
O29,aDGlc(1->6)aDGal(1->3) | ->3)DGro(1-P-6)bDGlc(1->4)aLFucNAc(1->3)bDGlcNAc(1->,DGro|aDGal|aLFucNAc|bDGlc|bDGlcNAc
O30,bDGlcNAc(1->2) | ->4)bDGlc(1->4)bDGlcA(1->3)aDGlcNAc(1->,aDGlcNAc|bDGlc|bDGlcA
O32,->6)aDGal(1->4)bDGlcA(1->6)bDGal(1->4)bDGal2Ac3Ac(1->4)bDGlcNAc(1->,aDGal|bDGal|bDGal2Ac3Ac|bDGlcA|bDGlcNAc
O33,->2)bDGal(1->4)bDGlcNAc(1->3)bDGal(1->3)bDGalNAc(1-> | Gro(2-P-3),bDGal|bDGalNAc|bDGlcNAc
O34,,
O35,->3)aLRha(1->2)aLRha(1->3)aLRha(1->2)aLRha(1->3)bDGlcNAc(1-> | aDGalNAcAN(1->2),aLRha|bDGlcNAc
O36,aLRha(1->2)aLFuc(1->3) | ->4)aDMan(1->3)aLFuc(1->3)bDGlcNAc(1->,aDMan|aLFuc|bDGlcNAc
O37,->4)bDGalNAc(1->3)aDGal(1->4)bDGal(1->3)bDGalNAc(1-> | DGro(1-P-3),aDGal|bDGal|bDGalNAc
O38,aDGlcNAc(1->4) | ->6)bDGlcNAc(1->3)bDGalNAc(1->4)bDGlcA(1->3)bDGalNAc(1->,bDGalNAc|bDGlcA|bDGlcNAc
O39,aDGal(1->3) | ->3)bDQui4NBuR3OH(1->2)aDMan(1->4)aLRha(1->3)aDGlcNAc(1->,aDGlcNAc|aDMan|aLRha|bDQui4NBuR3OH
O40,->2)bDGal(1->4)bDMan(1->4)aDGal(1->3)bDGlcNAc(1->,aDGal|bDGal|bDGlcNAc|bDMan
O41,bDGlc(1->4) | ->3)aDGal(1->3)aLFuc(1->4)bDGlcNAc(1->3)aLFuc(1->3)bDGlcNAc(1->,aDGal|aLFuc|bDGlcNAc
