       m/z	       S/N	Quality Fac.	      Res.	   Intens.	      Area
     461.2	         3	      1704	      1887	    380974	    105655
     463.2	         2	      73.1	      2287	    326717	     72877
     464.2	         3	       383	      2382	    442009	    104597
     469.1	         3	      34.8	      2841	    361890	     83557
     472.2	         5	       308	      3600	    599891	     97381
     474.3	         4	      67.3	      3524	    453829	     72206
     484.1	         2	      47.3	      2663	    327508	     79678
     487.2	         2	       131	      2891	    282700	     60585
     488.3	         4	       369	      3230	    483340	     88224
     489.3	         2	      58.6	      2044	    289471	     86188
     491.2	         4	       140	      2704	    438426	    114185
     505.2	        40	    137818	      4011	4.341271e6	    806349
     519.2	         9	     19627	      3488	1.018703e6	    225255
     521.2	         3	       215	      2424	    387394	    116075
     523.3	         2	      74.2	      3525	    312632	     52010
     533.2	         5	      6396	      3367	    612692	    138552
     535.2	         4	       458	      3216	    459346	    110590
     537.3	         2	       156	      3529	    311797	     62522
     549.2	         3	       651	      3169	    421540	    102707
     550.6	         3	       202	      2752	    364894	     99983
     551.0	         2	       388	      3861	    282275	     49369
     551.3	         2	       296	      3756	    313447	     59977
     553.3	         3	       280	      3610	    339597	     69430
     558.2	         3	       234	      3518	    399297	     90721
     563.3	         2	       172	      3540	    307849	     63345
     565.3	         4	       850	      3409	    529309	    127580
     568.3	         3	       653	      4663	    363839	     55612
     582.3	         3	       766	      3873	    387274	     79663
     589.3	         2	       112	      2805	    283326	     72298
     595.3	         4	      3414	      4984	    444814	     69090
     603.3	         2	       186	      2481	    297214	     94801
     603.9	         3	       111	      3745	    388865	     74754
     605.3	         2	       124	      2382	    292064	     92639
     609.3	         2	       225	      4112	    293040	     49117
     617.9	         2	      97.5	      2306	    306991	     92113
     619.3	         4	       335	      2266	    429107	    162858
     621.3	         3	       302	      3741	    397436	     95278
     624.0	         3	       111	      4779	    341657	     52216
     637.3	         2	       162	      3570	    278919	     63714
     649.3	         3	       156	      2868	    327323	    100415
     651.3	         4	      1844	      4565	    464374	     98083
     663.5	         5	       265	      3624	    559815	    138582
     665.3	        72	     87603	      5567	7.107077e6	1.350916e6
     679.3	        10	      2576	      5486	1.084088e6	    217111
