term	estimate	std_error	t_value	p.value	fixed_effect	term_update	conf.low	conf.high	OR	OR_lower	OR_upper	significance
(Intercept)	0.03633161956932	0.0251741129672748	1.44321349540893	0.149026462056524	Other	(Intercept)	-0.0130096418465386	0.0856728809851785	1.03699967886389	0.987074617752419	1.08944989023468	Not Significant
predictedK1	0.0488738187751959	0.0253905995969944	1.92487848065555	0.0543043787355421	K-type	K1	-0.000891756434913057	0.098639393985305	1.05008784101015	0.999108641061691	1.10366823838658	Not Significant
predictedK100	0.0857025012548453	0.0497928079528673	1.7211823309095	0.0852830374986787	K-type	K100	-0.0118914023327745	0.183296404842465	1.08948216051214	0.988179020971599	1.20117038804077	Not Significant
predictedK104	0.159543116240521	0.0721545270327125	2.21113106552815	0.0270743490595201	K-type	K104	0.0181202432564046	0.300965989224637	1.17297483539559	1.01828541098245	1.35116338664212	0.05
predictedK107	0.179009235765705	0.0696002942187549	2.57196090584151	0.0101426408497996	K-type	K107	0.0425926590969451	0.315425812434464	1.19603179038626	1.04351274284257	1.3708429086528	0.05
predictedK110	-0.143072284961413	0.0524865851206468	-2.72588290193663	0.00643655752170946	K-type	K110	-0.245945991797881	-0.0401985781249452	0.866691417875455	0.781964456279452	0.960598666329311	0.01
predictedK111	0.204950359493282	0.0795911526079043	2.57503947081837	0.0100529346838289	K-type	K111	0.0489517003817896	0.360949018604774	1.22746413150934	1.05016962672304	1.43469031650002	0.05
predictedK112	0.115227569708921	0.0791345298812986	1.45609722938598	0.145432015695031	K-type	K112	-0.0398761088584243	0.270331248276266	1.12212877103555	0.960908479826644	1.31039844607566	Not Significant
predictedK116	0.270682220399402	0.104126823893576	2.59954361688835	0.00936374709765591	K-type	K116	0.0665936455679933	0.474770795230811	1.31085844011825	1.0688610534891	1.60764567519794	0.01
predictedK12	0.346775759372536	0.0852933854604731	4.06568173487778	4.86692337465415e-05	K-type	K12	0.179600723870009	0.513950794875063	1.41449950154875	1.19673943822466	1.67188343257896	0.01
predictedK13_K23	0.26229238833245	0.0729238872509495	3.59679658093151	0.000325446299413236	K-type	K13_K23	0.119361569320589	0.405223207344311	1.29990656438238	1.12677725272982	1.49963719273767	0.01
predictedK14	0.135806209995945	0.0369696150825656	3.67345480045286	0.000241935377237652	K-type	K14	0.0633457644341165	0.208266655557774	1.14545989340746	1.06539515130463	1.23154152316004	0.01
predictedK2	0.128241766522587	0.0331439785289993	3.86923272987225	0.000110645429717037	K-type	K2	0.0632795686057487	0.193203964439426	1.13682781638329	1.06532462892422	1.21313020370877	0.01
predictedK20	0.0851773857867525	0.0857141282878989	0.993737992652232	0.320401198520044	K-type	K20	-0.0828223056575293	0.253177077231034	1.08891020676147	0.920514702943105	1.28811135183204	Not Significant
predictedK24	-0.0198011850317298	0.0592212266513511	-0.334359589481385	0.738123031478401	K-type	K24	-0.135874789268378	0.0962724192049184	0.98039357084852	0.872951928595704	1.1010589727516	Not Significant
predictedK3	0.143176315922208	0.0823368246882043	1.73890985551596	0.0821155855097431	K-type	K3	-0.0182038604666719	0.304556492311089	1.1539332405342	0.98196082895937	1.35602346279014	Not Significant
predictedK4	0.321919399827804	0.118697355808931	2.71210253702705	0.00670993332401912	K-type	K4	0.0892725824422993	0.554566217213309	1.37977356148871	1.09337865153355	1.7411855246241	0.01
predictedK5	0.0351453994820638	0.0246260006105882	1.42716635306801	0.15359786181431	K-type	K5	-0.013121561714689	0.0834123606788167	1.03577029831645	0.986964150673191	1.08698994805718	Not Significant
predictedK51	0.280977155262724	0.0684544886502744	4.1045833633818	4.11858784733955e-05	K-type	K51	0.146806357508187	0.415147953017262	1.32442334748624	1.15812967819829	1.51459481298806	0.01
predictedK52	0.272425550595163	0.0445239390086803	6.11863093564232	1.01985721934532e-09	K-type	K52	0.18515863013815	0.359692471052177	1.31314569235794	1.20340932197448	1.43288869204454	0.01
predictedK7	0.11758885558273	0.050604805719539	2.32366973671293	0.0201853093486543	K-type	K7	0.0184034363724336	0.216774274793027	1.12478156862534	1.01857382323724	1.24206370540567	0.05
predictedK93	0.132831664460377	0.0910210630774681	1.4593508356118	0.144534877466522	K-type	K93	-0.0455696191714601	0.311232948092215	1.14205773324402	0.955453082404476	1.3651071832644	Not Significant
predictedK96	0.074751848693174	0.0584891285588852	1.27804688725899	0.20129551659736	K-type	K96	-0.039886843282241	0.189390540668589	1.07761670570879	0.960898165083134	1.20851283374258	Not Significant
predictedOther	0.0117480586843382	0.0250412088978566	0.469149022807112	0.638984711418716	K-type	Other	-0.0373327107554608	0.0608288281241372	1.01181733815973	0.963355563265889	1.06271699135668	Not Significant
o_typeO1	0.106352751295813	0.0341284140409318	3.11625237458321	0.00184261522375173	O-type	O1	0.0394610597755863	0.173244442816039	1.11221414229625	1.04024999052818	1.18915675038428	0.01
o_typeO102	0.196516671263036	0.0733613249648872	2.67875030006744	0.00741527372748192	O-type	O102	0.0527284743318575	0.340304868194215	1.21715561223042	1.05414337927148	1.40537597969629	0.01
o_typeO106/O17/O44/O73/O77	0.152789051453476	0.049660911627813	3.07664612761368	0.00210538873493273	O-type	O106/O17/O44/O73/O77	0.0554536646629626	0.25012443824399	1.16507918125845	1.05702003855797	1.28418520849773	0.01
o_typeO106/O17/O44/O77	0.0762562086669695	0.0509764872594926	1.49590944308877	0.134743872327947	O-type	O106/O17/O44/O77	-0.0236577063616359	0.176170123695575	1.07923904913625	0.976619943345337	1.19264093787674	Not Significant
o_typeO107/O117	0.0984403739401788	0.0604427350002961	1.62865518808334	0.103452531066292	O-type	O107/O117	-0.0200273866604015	0.216908134540759	1.10344860814011	0.980171829306149	1.24222997886836	Not Significant
o_typeO11	0.085042778455787	0.0586375869974075	1.45031169955112	0.147037825529366	O-type	O11	-0.0298868920591317	0.199972448970706	1.08876364132949	0.970555304852419	1.22136910772055	Not Significant
o_typeO12	-0.111043189222138	0.0871051241796968	-1.27481810361761	0.202436156921106	O-type	O12	-0.281769232614344	0.059682854170068	0.89490009805526	0.754447766384772	1.06149984290745	Not Significant
o_typeO120	0.153568127780861	0.0832232570379258	1.8452549593304	0.0650628342356503	O-type	O120	-0.00954945601347362	0.316685711575196	1.16598722053812	0.990495995248268	1.37257112091346	Not Significant
o_typeO13/O135	-0.103339089625155	0.0642061183173693	-1.60948975476687	0.107575926943011	O-type	O13/O135	-0.229183081527199	0.0225049022768883	0.901821123442454	0.795182936870989	1.0227600480051	Not Significant
o_typeO148	0.00753693464574588	0.0857790322414858	0.0878645334273281	0.929988059772919	O-type	O148	-0.160589968547566	0.175663837839058	1.00756540882874	0.851641199203371	1.19203727346427	Not Significant
o_typeO15	0.0853104112102367	0.0471150216897174	1.81068389975623	0.0702531243441193	O-type	O15	-0.00703503130160936	0.177655853722083	1.08905506913784	0.992989656603778	1.19441419729518	Not Significant
o_typeO153	0.0235972282775366	0.0553662450310567	0.426202431902329	0.669979710833579	O-type	O153	-0.0849206119833344	0.132115068538408	1.02387784578661	0.918585206164518	1.14123963248856	Not Significant
o_typeO16	-0.0247956076918232	0.0464379166894142	-0.533951767424473	0.593399959675825	O-type	O16	-0.115813924403075	0.0662227090194286	0.975509278246207	0.890640934423115	1.06846464738432	Not Significant
o_typeO166	0.0556023911038967	0.101207617219672	0.549389390160341	0.582764150979193	O-type	O166	-0.14276453864666	0.253969320854453	1.05717725707729	0.866958180010761	1.28913225418507	Not Significant
o_typeO174	-0.0166805691455471	0.0833582328470035	-0.200107038931149	0.841405458238657	O-type	O174	-0.180062705525674	0.14670156723458	0.983457781225543	0.835217836995685	1.15800832383093	Not Significant
o_typeO18	0.119675032393309	0.0391953581740415	3.05329605260675	0.00227599155580616	O-type	O18	0.0428521303721871	0.19649793441443	1.12713051115358	1.04378353955515	1.21713280678363	0.01
o_typeO2	0.0515578080457416	0.0586719293323751	0.87874744588111	0.379582797951924	O-type	O2	-0.0634391734457136	0.166554789537197	1.05291005120528	0.938531205183779	1.18122825304675	Not Significant
o_typeO2/O50	0.152121103557786	0.0384227936100381	3.95913699304892	7.63239856924215e-05	O-type	O2/O50	0.0768124280821108	0.22742977903346	1.16430122891575	1.07983950982742	1.25536928341451	0.01
o_typeO21	-0.0584616519838025	0.0475985940108139	-1.22822224476884	0.219424570780761	O-type	O21	-0.151754896244998	0.0348315922773927	0.94321441010762	0.85919884779857	1.03544531712784	Not Significant
o_typeO22	0.0277278977637677	0.0639828768837711	0.433364348623104	0.664769828893602	O-type	O22	-0.0976785409284236	0.153134336455959	1.02811589372353	0.906940401118493	1.16548153508581	Not Significant
o_typeO23	0.156039600298854	0.100847698696924	1.54727973285536	0.121862607934031	O-type	O23	-0.0416218891471164	0.353701089744824	1.1688724898733	0.959232408195421	1.42432937618624	Not Significant
o_typeO25	0.115577557429704	0.0345247468862892	3.34767283914841	0.000821287802353141	O-type	O25	0.0479090535325771	0.183246061326831	1.12252157106013	1.0490752412985	1.2011099184227	0.01
o_typeO4	0.160361612927518	0.0723563570141312	2.21627538401635	0.026719987799617	O-type	O4	0.0185431531798203	0.302180072675215	1.17393530442903	1.01871614506206	1.35280480795847	0.05
o_typeO45	0.171748078087786	0.060780657272224	2.82570287646877	0.00473745216494357	O-type	O45	0.0526179898342266	0.290878166341345	1.18737866882768	1.05402691920342	1.33760160912446	0.01
o_typeO46	0.174668748475831	0.112102117273241	1.55812176187617	0.11927118952842	O-type	O46	-0.0450514013797209	0.394388898331384	1.19085167983651	0.955948343506424	1.48347735837664	Not Significant
o_typeO6	0.193189258280533	0.0350440452385556	5.51275564694185	3.71999110201001e-08	O-type	O6	0.124502929612964	0.261875586948102	1.21311236335442	1.13258533849208	1.29936487442323	0.01
o_typeO7	0.0565926592263896	0.0621935904356979	0.909943594346767	0.362898554021117	O-type	O7	-0.0653067780275783	0.178492096480358	1.05822466453631	0.936780035759774	1.19541343526258	Not Significant
o_typeO75	-0.00846424927737822	0.044613158133998	-0.189725400115262	0.849532444794208	O-type	O75	-0.0959060392200143	0.0789775406652579	0.991571471625945	0.908549380066616	1.08218001675413	Not Significant
o_typeO8	0.084014769522747	0.0305727241695882	2.74803020681813	0.00601814744406637	O-type	O8	0.0240922301503541	0.14393730889514	1.08764495768714	1.02438479269729	1.15481170983357	0.01
o_typeO83	0.0760569390676393	0.0634924965544569	1.19788861983724	0.231020313342055	O-type	O83	-0.0483883541790961	0.200502232314375	1.07902401102934	0.952763705454079	1.22201634016164	Not Significant
o_typeO86	0.119329989295328	0.0567116240103798	2.10415397861798	0.0354175839603339	O-type	O86	0.00817520623498331	0.230484772355672	1.12674166963758	1.00820871448351	1.25921029233321	0.05
o_typeO89	0.206571099476657	0.0493245251657565	4.18799975838528	2.8653744175652e-05	O-type	O89	0.109895030151774	0.303247168801539	1.22945514472697	1.11616090106897	1.35424915121821	0.01
o_typeO9	0.145598676364137	0.0384128013821967	3.79036860434807	0.000152293474872274	O-type	O9	0.070309585655031	0.220887767073242	1.15673187104613	1.07284026580369	1.24718344766033	0.01
o_typeO99	-0.0357195789393935	0.087296301443101	-0.409176315020348	0.682428773560685	O-type	O99	-0.206820329767872	0.135381171889085	0.964910836868584	0.813165738540298	1.14497313275612	Not Significant
o_typeOther	0.0300445981121259	0.0179224040399296	1.67637098489628	0.0937315357748804	O-type	Other	-0.0050833138061361	0.065172510030388	1.03050049130516	0.994929584369077	1.0673431359	Not Significant
h_typeH1	0.0361246197131442	0.0403644458091658	0.894961369813757	0.370853209961149	Other	h_typeH1	-0.0429896940728208	0.115238933499109	1.03678504229515	0.957921262282932	1.12214152274392	Not Significant
h_typeH10	0.0168748252432877	0.0326841381690861	0.516300144002222	0.605668895189087	Other	h_typeH10	-0.0471860855681211	0.0809357360546964	1.01701800937533	0.953909872212921	1.08430121285387	Not Significant
h_typeH11	0.0187219250358572	0.049267152917083	0.380008259607904	0.703956320461493	Other	h_typeH11	-0.0778416946816255	0.11528554475334	1.01889827911782	0.92511086492225	1.12219382838673	Not Significant
h_typeH12	0.018234844058011	0.0450499218201224	0.404769715934691	0.685665067579787	Other	h_typeH12	-0.070063002709429	0.106532690825451	1.01840211399381	0.932335078419495	1.11241429159271	Not Significant
