distance,genome,phylogroup
0.0111321,ASCI17-1_SAMN05615096_MAG_00000004.fa,B2-2
0.00597612,ASCI17-1_SAMN05615098_MAG_00000004.fa,A
0.0110007,ASCI17-1_SAMN05615099_MAG_00000001.fa,B2-1
0.0107836,ASCI17-1_SAMN05615100_MAG_00000003.fa,B2-1
0.00940624,ASCI17-1_SAMN05615102_MAG_00000012.fa,B1
0.0152936,ASCI21-1_SAMEA7041138_MAG_00000045.fa,B2-2
0.0171844,ASCI21-1_SAMEA7041141_MAG_00000032.fa,B2-1
0.0118017,ASCI21-1_SAMEA7041145_MAG_00000009.fa,B2-2
0.00873204,ASCI21-1_SAMEA7041153_MAG_00000042.fa,B1
0.00766986,ASCI21-1_SAMEA7041160_MAG_00000057.fa,B1
0.00770681,ASCI21-1_SAMEA7041195_MAG_00000030.fa,B2-2
0.0161637,ASCI21-1_SAMEA7041199_MAG_00000026.fa,A
0.00473708,ASCI21-1_SAMEA7041201_MAG_00000024.fa,D1
0.0112643,ASCI21-1_SAMEA7041210_MAG_00000041.fa,B2-2
0.0166683,ASCI21-1_SAMEA7041211_MAG_00000051.fa,D2
0.00940624,ASCI21-1_SAMEA7041219_MAG_00000102.fa,B1
0.0113974,ASCI21-1_SAMEA7041220_MAG_00000046.fa,B2-1
0.0201478,ASCI21-1_SAMEA7041221_MAG_00000002.fa,B2-2
0.0106116,ASCI21-1_SAMEA7041232_MAG_00000062.fa,D2
0.00205363,ASCI21-1_SAMEA7041252_MAG_00000119.fa,B2-2
0.0155619,ASCI21-1_SAMEA7041275_MAG_00000056.fa,E2
0.0120757,ASCI21-1_SAMEA7041279_MAG_00000127.fa,D1
0.0114865,ASCI21-1_SAMEA7045021_MAG_00000046.fa,A
0.00666341,ASCI21-1_SAMEA7045026_MAG_00000067.fa,G
0.0110882,ASCI21-1_SAMEA7045027_MAG_00000039.fa,B2-2
0.00537869,ASCI21-1_SAMEA7045033_MAG_00000061.fa,A
0.00940624,ASCI21-1_SAMEA7045036_MAG_00000036.fa,A
0.0109136,ASCI21-1_SAMEA7045042_MAG_00000057.fa,A
0.0224204,ASCI21-1_SAMEA7045044_MAG_00000008.fa,B2-2
0.00877107,ASCI21-1_SAMEA7045045_MAG_00000077.fa,D1
0.0149759,ASCI21-1_SAMEA7045048_MAG_00000051.fa,F
0.00302611,ASCI21-1_SAMEA7045053_MAG_00000050.fa,B2-2
0.00584167,ASCI21-1_SAMEA7045067_MAG_00000004.fa,A
0.0312752,ASCI21-1_SAMEA7045069_MAG_00000030.fa,D2
0.0314775,ASCI21-1_SAMEA7045075_MAG_00000032.fa,D2
0.0160531,ASCI21-1_SAMEA7045078_MAG_00000017.fa,B1
0.0113974,ASCI21-1_SAMEA7045085_MAG_00000027.fa,B2-2
0.0111321,ASCI21-1_SAMEA7045101_MAG_00000050.fa,A
0.00881017,ASCI21-1_SAMEA7045116_MAG_00000063.fa,A
0.0202137,ASCI21-1_SAMEA7045121_MAG_00000068.fa,F
0.0110007,ASCI21-1_SAMEA7045123_MAG_00000046.fa,B2-1
0.00669844,ASCI21-1_SAMEA7045125_MAG_00000078.fa,B2-2
0.00302611,ASCI21-1_SAMEA7045126_MAG_00000053.fa,B2-2
0.00997914,ASCI21-1_SAMEA7045130_MAG_00000065.fa,A
0.0083078,ASCI21-1_SAMEA7045140_MAG_00000076.fa,B1
0.0138485,ASCI21-1_SAMEA7045142_MAG_00000063.fa,G
0.0136496,ASCI21-1_SAMEA7045162_MAG_00000014.fa,B2-2
0.00489536,ASCI21-1_SAMEA7045170_MAG_00000061.fa,A
0.00524853,ASCI21-1_SAMEA7045183_MAG_00000078.fa,A
0.0157789,ASCI21-1_SAMEA7045192_MAG_00000075.fa,B2-1
0.015508,ASCI21-1_SAMEA7045199_MAG_00000036.fa,D2
0.00789262,ASCI21-1_SAMEA7045205_MAG_00000018.fa,B1
0.00547692,ASCI21-1_SAMEA7045207_MAG_00000046.fa,B2-2
0.0127293,ASCI21-1_SAMEA7045213_MAG_00000058.fa,B2-2
0.00900687,ASCI21-1_SAMEA7045233_MAG_00000051.fa,A
0.00511931,ASCI21-1_SAMEA7045237_MAG_00000031.fa,A
0.00454897,ASCI21-1_SAMEA7045255_MAG_00000041.fa,D1
0.0177122,ASCI21-1_SAMEA7045260_MAG_00000066.fa,A
0.00977265,ASCI21-1_SAMEA7045271_MAG_00000007.fa,B2-1
0.0152404,ASCI21-1_SAMEA7045272_MAG_00000069.fa,D3
0.00464278,ASCI21-1_SAMEA7045284_MAG_00000077.fa,D1
0.010441,ASCI21-1_SAMEA7045287_MAG_00000060.fa,B2-2
0.0113529,ASCI21-1_SAMEA7045291_MAG_00000008.fa,B2-2
0.0146626,ASCI21-1_SAMEA7045300_MAG_00000088.fa,F
0.00789262,ASCI21-1_SAMEA7045303_MAG_00000029.fa,A
0.00408721,ASCI21-1_SAMEA7045316_MAG_00000038.fa,B2-2
0.0114419,ASCI21-1_SAMEA7045321_MAG_00000033.fa,B2-2
0.0148187,ASCI21-1_SAMEA7045327_MAG_00000095.fa,B2-2
0.00964976,ASCI21-1_SAMEA7045337_MAG_00000040.fa,B1
0.0163866,ASCI21-1_SAMEA7045343_MAG_00000114.fa,D1
0.00834599,ASCI21-1_SAMEA7045357_MAG_00000039.fa,B1
0.0113974,ASCI21-1_SAMEA7045358_MAG_00000067.fa,B2-2
0.00294054,ASCI21-1_SAMEA7045380_MAG_00000024.fa,B2-2
0.0109136,ASCI21-1_SAMEA7045401_MAG_00000042.fa,B2-2
0.0104835,ASCI21-1_SAMEA7045404_MAG_00000008.fa,B2-1
0.0163866,ASCI21-1_SAMEA7045408_MAG_00000049.fa,G
0.015347,ASCI21-1_SAMEA7045418_MAG_00000014.fa,F
0.00977265,ASCI21-1_SAMEA7045443_MAG_00000085.fa,D1
0.00884936,ASCI21-1_SAMEA7045444_MAG_00000025.fa,B1
0.0104835,ASCI21-1_SAMEA7045454_MAG_00000039.fa,B2-2
0.00964976,ASCI21-1_SAMEA7045465_MAG_00000053.fa,B2-2
0.0113086,ASCI21-1_SAMEA7045470_MAG_00000120.fa,B2-2
0.0259767,ASCI21-1_SAMEA7045484_MAG_00000018.fa,A
0.00268639,ASCI21-1_SAMEA7045497_MAG_00000117.fa,B2-2
0.00492718,ASCI21-1_SAMEA7045500_MAG_00000001.fa,D1
0.00759618,ASCI21-1_SAMEA7045505_MAG_00000062.fa,A
0.0161637,ASCI21-1_SAMEA7045506_MAG_00000034.fa,E2
0.0084995,ASCI21-1_SAMEA7045507_MAG_00000005.fa,G
0.00282712,ASCI21-1_SAMEA7045510_MAG_00000040.fa,B2-1
0.0100207,ASCI21-1_SAMEA7045537_MAG_00000048.fa,D2
0.00541137,ASCI21-1_SAMEA7045544_MAG_00000035.fa,A
0.0097316,ASCI21-1_SAMEA7045584_MAG_00000032.fa,B2-1
0.00433199,ASCI21-1_SAMEA7045598_MAG_00000013.fa,A
0.00804257,ASCI21-1_SAMEA7045605_MAG_00000029.fa,A
0.0123068,ASCI21-1_SAMEA7045624_MAG_00000025.fa,B2-2
0.0172424,ASCI21-1_SAMEA7045642_MAG_00000111.fa,B1
0.00399629,ASCI21-1_SAMEA7045643_MAG_00000102.fa,A
0.00924552,ASCI21-1_SAMEA7045656_MAG_00000087.fa,B1
0.0126347,ASCI21-1_SAMEA7045663_MAG_00000067.fa,B2-2
0.0124935,ASCI21-1_SAMEA7045664_MAG_00000090.fa,A
0.00265838,ASCI21-1_SAMEA7045675_MAG_00000046.fa,B2-2
0.0145076,ASCI21-1_SAMEA7045676_MAG_00000019.fa,G
0.0163866,ASCI21-1_SAMEA7045678_MAG_00000085.fa,D2
0.00521614,ASCI21-1_SAMEA7045696_MAG_00000155.fa,A
0.00884936,ASCI21-1_SAMEA7045700_MAG_00000038.fa,D1
0.0139988,ASCI21-1_SAMEA7045719_MAG_00000018.fa,A
0.0081558,ASCI21-1_SAMEA7045720_MAG_00000037.fa,B1
0.0186195,ASCI21-1_SAMEA7045729_MAG_00000060.fa,A
0.0132087,ASCI21-1_SAMEA7045736_MAG_00000099.fa,B2-2
0.0118471,ASCI21-1_SAMEA7045746_MAG_00000069.fa,B2-2
0.0124467,ASCI21-1_SAMEA7045747_MAG_00000016.fa,B2-2
0.0103562,ASCI21-1_SAMEA7045758_MAG_00000035.fa,B2-2
0.0214305,ASCI21-1_SAMEA7045774_MAG_00000044.fa,D1
0.0034604,ASCI21-1_SAMEA7045787_MAG_00000018.fa,B2-1
0.0246831,ASCI21-1_SAMEA7045788_MAG_00000007.fa,A
0.0230043,ASCI21-1_SAMEA7045800_MAG_00000065.fa,B2-2
0.00360762,ASCI21-1_SAMEA7045812_MAG_00000037.fa,D2
0.00960897,ASCI21-1_SAMEA7045818_MAG_00000087.fa,B2-2
0.0132573,ASCI21-1_SAMEA7045822_MAG_00000048.fa,B2-2
0.0183741,ASCI21-1_SAMEA7045848_MAG_00000024.fa,B2-2
0.00944662,ASCI21-1_SAMEA7045859_MAG_00000072.fa,B1
0.00842259,ASCI21-1_SAMEA7045860_MAG_00000002.fa,D3
0.0102298,ASCI21-1_SAMEA7045891_MAG_00000086.fa,B2-2
0.010314,ASCI21-1_SAMEA7045900_MAG_00000048.fa,A
0.0120757,ASCI21-1_SAMEA7045919_MAG_00000041.fa,A
0.0133059,ASCI21-1_SAMEA7045923_MAG_00000046.fa,B2-2
0.00486359,ASCI21-1_SAMEA7045930_MAG_00000038.fa,G
0.0107405,ASCI21-1_SAMEA7045935_MAG_00000046.fa,A
0.0155619,ASCI21-1_SAMEA7045936_MAG_00000068.fa,B1
0.0121217,ASCI21-1_SAMEA7045942_MAG_00000076.fa,F
0.00218918,BAEC15-1_SAMEA2579909_MAG_00000039.fa,B2-2
0.0084995,BAEC15-1_SAMEA2579910_MAG_00000012.fa,B1
0.0158882,BAEC15-1_SAMEA2579915_MAG_00000002.fa,D3
0.015943,BAEC15-1_SAMEA2579916_MAG_00000024.fa,D3
0.00865422,BAEC15-1_SAMEA2579917_MAG_00000008.fa,D1
0.0025468,BAEC15-1_SAMEA2579919_MAG_00000012.fa,B1
0.0129677,BAEC15-1_SAMEA2579921_MAG_00000025.fa,D1
0.00834599,BAEC15-1_SAMEA2579922_MAG_00000002.fa,A
0.0150813,BAEC15-1_SAMEA2579923_MAG_00000024.fa,F
0.00282712,BAEC15-1_SAMEA2579926_MAG_00000022.fa,B2-2
0.0101878,BAEC15-1_SAMEA2579927_MAG_00000003.fa,B2-2
0.0158335,BAEC15-1_SAMEA2579928_MAG_00000001.fa,B2-2
0.0164989,BAEC15-1_SAMEA2579929_MAG_00000030.fa,B2-2
0.015943,BAEC15-1_SAMEA2579931_MAG_00000009.fa,D1
0.0136496,BAEC15-1_SAMEA2579932_MAG_00000008.fa,D1
0.0037263,BAEC15-1_SAMEA2579934_MAG_00000008.fa,C
0.0111321,BAEC15-1_SAMEA2579935_MAG_00000015.fa,B2-2
0.0110444,BAEC15-1_SAMEA2579936_MAG_00000002.fa,B2-2
0.00869309,BAEC15-1_SAMEA2579937_MAG_00000027.fa,B1
0.0353885,BAEC15-1_SAMEA2579938_MAG_00000002.fa,F
0.0166117,BAEC15-1_SAMEA2579944_MAG_00000007.fa,D3
0.0169536,BAEC15-1_SAMEA2579945_MAG_00000001.fa,D3
0.00804257,BAEC15-1_SAMEA2579948_MAG_00000008.fa,B1
0.00796745,BAEC15-1_SAMEA2579949_MAG_00000009.fa,B1
0.0037263,BAEC15-1_SAMEA2579953_MAG_00000001.fa,B2-2
0.00932572,BAEC15-1_SAMEA2579954_MAG_00000059.fa,B2-2
0.00960897,BAEC15-1_SAMEA2579956_MAG_00000007.fa,D1
0.0130157,BAEC15-1_SAMEA2579958_MAG_00000033.fa,D1
0.0124,BAEC15-1_SAMEA2579959_MAG_00000013.fa,D2
0.011621,BAEC15-1_SAMEA2579961_MAG_00000012.fa,A
0.0114419,BAEC15-1_SAMEA2579963_MAG_00000005.fa,A
0.0132573,BAEC15-1_SAMEA2579967_MAG_00000005.fa,B1
0.00531349,BAEC15-1_SAMEA2579970_MAG_00000059.fa,A
0.00752278,BAEC15-1_SAMEA2579971_MAG_00000007.fa,D1
