Name	Species	O-type	H-type	Serotype	QC	Evidence	GeneScores	AlleleKeys	GeneIdentities(%)	GeneCoverages(%)	GeneContigNames	GeneRanges	GeneLengths	Database	Warnings
ASCI17-1_SAMN05615096_MAG_00000004	-	O1	H7	O1:H7	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O1-3-wzx;O1-6-wzy;H7-3-fliC-origin;	100;100;100;	100;100;100;	ASCI17-1_SAMN05615096_MAG_00000004-scaffold_3;ASCI17-1_SAMN05615096_MAG_00000004-scaffold_3;ASCI17-1_SAMN05615096_MAG_00000004-scaffold_1;	442593-443819;446087-447091;386731-388488;	1227;1005;1758;	v1.0 (11-03-2020)	-
Name	Species	O-type	H-type	Serotype	QC	Evidence	GeneScores	AlleleKeys	GeneIdentities(%)	GeneCoverages(%)	GeneContigNames	GeneRanges	GeneLengths	Database	Warnings
ASCI17-1_SAMN05615098_MAG_00000004	-	O168	H4	O168:H4	-	Based on 3 allele(s)	wzx:0.999;wzy:1;fliC:1;	O168-1-wzx-origin;O168-2-wzy-origin;H4-2-fliC-origin;	99.921;100;100;	100;100;100;	ASCI17-1_SAMN05615098_MAG_00000004-scaffold_7;ASCI17-1_SAMN05615098_MAG_00000004-scaffold_7;ASCI17-1_SAMN05615098_MAG_00000004-scaffold_21;	42577-43848;38928-40160;31561-32610;	1272;1233;1050;	v1.0 (11-03-2020)	-
Name	Species	O-type	H-type	Serotype	QC	Evidence	GeneScores	AlleleKeys	GeneIdentities(%)	GeneCoverages(%)	GeneContigNames	GeneRanges	GeneLengths	Database	Warnings
ASCI17-1_SAMN05615099_MAG_00000001	-	O117/O107	H4	O117/O107:H4	-	Based on 2 allele(s)	wzy:0.999;fliC:1;	O117-3-wzy-origin;H4-2-fliC-origin;	99.924;100;	100;100;	ASCI17-1_SAMN05615099_MAG_00000001-scaffold_37;ASCI17-1_SAMN05615099_MAG_00000001-scaffold_1;	478-1800;397063-398112;	1323;1050;	v1.0 (11-03-2020)	High similarity O-antigen group 8:O107/O117 as per A.Iguchi et.al (PMID: 25428893)
Name	Species	O-type	H-type	Serotype	QC	Evidence	GeneScores	AlleleKeys	GeneIdentities(%)	GeneCoverages(%)	GeneContigNames	GeneRanges	GeneLengths	Database	Warnings
ASCI17-1_SAMN05615100_MAG_00000003	-	-	H4	-:H4	-	Based on 1 allele(s)	fliC:0.99;	H4-18-fliC;	99.049;	100;	ASCI17-1_SAMN05615100_MAG_00000003-scaffold_72;	4928-5978;	1051;	v1.0 (11-03-2020)	-
Name	Species	O-type	H-type	Serotype	QC	Evidence	GeneScores	AlleleKeys	GeneIdentities(%)	GeneCoverages(%)	GeneContigNames	GeneRanges	GeneLengths	Database	Warnings
ASCI17-1_SAMN05615102_MAG_00000012	-	-	H34	-:H34	-	Based on 1 allele(s)	fliC:0.66;	H34-3-fliC;	98.547;	67;	ASCI17-1_SAMN05615102_MAG_00000012-scaffold_17;	30851-31951;	1101;	v1.0 (11-03-2020)	-
Name	Species	O-type	H-type	Serotype	QC	Evidence	GeneScores	AlleleKeys	GeneIdentities(%)	GeneCoverages(%)	GeneContigNames	GeneRanges	GeneLengths	Database	Warnings
ASCI21-1_SAMEA7041138_MAG_00000045	-	O75	H5	O75:H5	-	Based on 2 allele(s)	wzy:1;fliC:1;	O75-11-wzy;H5-6-fliC;	100;100;	100;100;	ASCI21-1_SAMEA7041138_MAG_00000045-scaffold_5;ASCI21-1_SAMEA7041138_MAG_00000045-scaffold_41;	2460-3533;7434-8743;	1074;1310;	v1.0 (11-03-2020)	-
Name	Species	O-type	H-type	Serotype	QC	Evidence	GeneScores	AlleleKeys	GeneIdentities(%)	GeneCoverages(%)	GeneContigNames	GeneRanges	GeneLengths	Database	Warnings
ASCI21-1_SAMEA7041141_MAG_00000032	-	-	-	-:-	-	-	-							v1.0 (11-03-2020)	No O and H antigen determinant E.coli genes were found. Try running with --verify parameter
Name	Species	O-type	H-type	Serotype	QC	Evidence	GeneScores	AlleleKeys	GeneIdentities(%)	GeneCoverages(%)	GeneContigNames	GeneRanges	GeneLengths	Database	Warnings
ASCI21-1_SAMEA7041145_MAG_00000009	-	O2/O50	H4	O2/O50:H4	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O2-1-wzx-origin;O2-2-wzy-origin;H4-2-fliC-origin;	100;100;100;	100;100;100;	ASCI21-1_SAMEA7041145_MAG_00000009-scaffold_36;ASCI21-1_SAMEA7041145_MAG_00000009-scaffold_36;ASCI21-1_SAMEA7041145_MAG_00000009-scaffold_20;	6689-7951;4014-4976;42815-43864;	1263;963;1050;	v1.0 (11-03-2020)	High similarity O-antigen group 7:O2/O50 as per A.Iguchi et.al (PMID: 25428893)
Name	Species	O-type	H-type	Serotype	QC	Evidence	GeneScores	AlleleKeys	GeneIdentities(%)	GeneCoverages(%)	GeneContigNames	GeneRanges	GeneLengths	Database	Warnings
ASCI21-1_SAMEA7041153_MAG_00000042	-	-	H49	-:H49	-	Based on 1 allele(s)	fliC:1;	H49-3-fliC;	100;	100;	ASCI21-1_SAMEA7041153_MAG_00000042-scaffold_12;	6959-8653;	1695;	v1.0 (11-03-2020)	-
Name	Species	O-type	H-type	Serotype	QC	Evidence	GeneScores	AlleleKeys	GeneIdentities(%)	GeneCoverages(%)	GeneContigNames	GeneRanges	GeneLengths	Database	Warnings
ASCI21-1_SAMEA7041160_MAG_00000057	-	O8	H21	O8:H21	-	Based on 3 allele(s)	wzm:1;wzt:1;fliC:1;	O8-11-wzm;O8-29-wzt;H21-12-fliC;	100;100;100;	100;100;100;	ASCI21-1_SAMEA7041160_MAG_00000057-scaffold_55;ASCI21-1_SAMEA7041160_MAG_00000057-scaffold_55;ASCI21-1_SAMEA7041160_MAG_00000057-scaffold_15;	9721-10515;10515-11729;81339-82814;	795;1215;1476;	v1.0 (11-03-2020)	-
Name	Species	O-type	H-type	Serotype	QC	Evidence	GeneScores	AlleleKeys	GeneIdentities(%)	GeneCoverages(%)	GeneContigNames	GeneRanges	GeneLengths	Database	Warnings
ASCI21-1_SAMEA7041195_MAG_00000030	-	-	H1	-:H1	-	Based on 1 allele(s)	fliC:0.92;	H1-1-fliC-origin;	100;	92;	ASCI21-1_SAMEA7041195_MAG_00000030-scaffold_232;	1-1645;	1645;	v1.0 (11-03-2020)	-
Name	Species	O-type	H-type	Serotype	QC	Evidence	GeneScores	AlleleKeys	GeneIdentities(%)	GeneCoverages(%)	GeneContigNames	GeneRanges	GeneLengths	Database	Warnings
ASCI21-1_SAMEA7041199_MAG_00000026	-	-	-	-:-	-	-	-							v1.0 (11-03-2020)	No O and H antigen determinant E.coli genes were found. Try running with --verify parameter
Name	Species	O-type	H-type	Serotype	QC	Evidence	GeneScores	AlleleKeys	GeneIdentities(%)	GeneCoverages(%)	GeneContigNames	GeneRanges	GeneLengths	Database	Warnings
ASCI21-1_SAMEA7041201_MAG_00000024	-	O15	H18	O15:H18	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O15-4-wzx;O15-8-wzy;H18-1-fliC-origin;	100;100;100;	100;100;100;	ASCI21-1_SAMEA7041201_MAG_00000024-scaffold_28;ASCI21-1_SAMEA7041201_MAG_00000024-scaffold_28;ASCI21-1_SAMEA7041201_MAG_00000024-scaffold_11;	288-1532;2565-3743;93776-95440;	1245;1179;1665;	v1.0 (11-03-2020)	-
Name	Species	O-type	H-type	Serotype	QC	Evidence	GeneScores	AlleleKeys	GeneIdentities(%)	GeneCoverages(%)	GeneContigNames	GeneRanges	GeneLengths	Database	Warnings
ASCI21-1_SAMEA7041210_MAG_00000041	-	-	H7	-:H7	-	Based on 1 allele(s)	fliC:1;	H7-3-fliC-origin;	100;	100;	ASCI21-1_SAMEA7041210_MAG_00000041-scaffold_114;	6857-8614;	1758;	v1.0 (11-03-2020)	-
Name	Species	O-type	H-type	Serotype	QC	Evidence	GeneScores	AlleleKeys	GeneIdentities(%)	GeneCoverages(%)	GeneContigNames	GeneRanges	GeneLengths	Database	Warnings
ASCI21-1_SAMEA7041211_MAG_00000051	-	-	H18	-:H18	-	Based on 1 allele(s)	fliC:0.88;	H18-2-fliC;	97.158;	91;	ASCI21-1_SAMEA7041211_MAG_00000051-scaffold_154;	7917-9429;	1513;	v1.0 (11-03-2020)	-
Name	Species	O-type	H-type	Serotype	QC	Evidence	GeneScores	AlleleKeys	GeneIdentities(%)	GeneCoverages(%)	GeneContigNames	GeneRanges	GeneLengths	Database	Warnings
ASCI21-1_SAMEA7041219_MAG_00000102	-	-	-	-:-	-	-	-							v1.0 (11-03-2020)	No O and H antigen determinant E.coli genes were found. Try running with --verify parameter
Name	Species	O-type	H-type	Serotype	QC	Evidence	GeneScores	AlleleKeys	GeneIdentities(%)	GeneCoverages(%)	GeneContigNames	GeneRanges	GeneLengths	Database	Warnings
ASCI21-1_SAMEA7041220_MAG_00000046	-	O13/O129/O135	H4	O13/O129/O135:H4	-	Based on 2 allele(s)	wzx:0.998;fliC:1;	O13-1-wzx-origin;H4-2-fliC-origin;	99.841;100;	100;100;	ASCI21-1_SAMEA7041220_MAG_00000046-scaffold_57;ASCI21-1_SAMEA7041220_MAG_00000046-scaffold_1;	265-1521;63337-64386;	1257;1050;	v1.0 (11-03-2020)	High similarity O-antigen group 10:O13/O129/O135 as per A.Iguchi et.al (PMID: 25428893)
Name	Species	O-type	H-type	Serotype	QC	Evidence	GeneScores	AlleleKeys	GeneIdentities(%)	GeneCoverages(%)	GeneContigNames	GeneRanges	GeneLengths	Database	Warnings
ASCI21-1_SAMEA7041221_MAG_00000002	-	-	H12	-:H12	-	Based on 1 allele(s)	fliC:1;	H12-3-fliC-origin;	100;	100;	ASCI21-1_SAMEA7041221_MAG_00000002-scaffold_276;	66-1853;	1788;	v1.0 (11-03-2020)	-
