Name	Species	O-type	H-type	Serotype	QC	Evidence	GeneScores	AlleleKeys	GeneIdentities(%)	GeneCoverages(%)	GeneContigNames	GeneRanges	GeneLengths	Database	Warnings
CUEN23-1_SAMEA111330839_ISOG.scaffolds.min200	-	O1	H7	O1:H7	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O1-1-wzx-origin;O1-6-wzy;H7-3-fliC-origin;	100;100;100;	100;100;100;	CUEN23-1_SAMEA111330839_ISOG-scaffold_3;CUEN23-1_SAMEA111330839_ISOG-scaffold_3;CUEN23-1_SAMEA111330839_ISOG-scaffold_1;	388534-389760;392028-393032;385827-387584;	1227;1005;1758;	v1.0 (11-03-2020)	-
CUEN23-1_SAMEA111330840_ISOG.scaffolds.min200	-	O23	H31	O23:H31	-	Based on 3 allele(s)	wzx:1;wzy:0.999;fliC:1;	O23-1-wzx-origin;O23-2-wzy-origin;H31-1-fliC-origin;	100;99.903;100;	100;100;100;	CUEN23-1_SAMEA111330840_ISOG-scaffold_6;CUEN23-1_SAMEA111330840_ISOG-scaffold_6;CUEN23-1_SAMEA111330840_ISOG-scaffold_1;	250761-251966;248897-249922;489031-490698;	1206;1026;1668;	v1.0 (11-03-2020)	-
CUEN23-1_SAMEA111330841_ISOG.scaffolds.min200	-	O25	H1	O25:H1	-	Based on 2 allele(s)	wzx:1;fliC:1;	O25-3-wzx;H1-1-fliC-origin;	100;100;	100;100;	CUEN23-1_SAMEA111330841_ISOG-scaffold_3;CUEN23-1_SAMEA111330841_ISOG-scaffold_2;	2744-4004;369092-370879;	1261;1788;	v1.0 (11-03-2020)	-
CUEN23-1_SAMEA111330842_ISOG.scaffolds.min200	-	O8	H49	O8:H49	-	Based on 3 allele(s)	wzm:1;wzt:1;fliC:1;	O8-16-wzm;O8-32-wzt;H49-3-fliC;	100;100;99.764;	100;100;100;	CUEN23-1_SAMEA111330842_ISOG-scaffold_1;CUEN23-1_SAMEA111330842_ISOG-scaffold_1;CUEN23-1_SAMEA111330842_ISOG-scaffold_4;	418892-419686;419686-420900;18197-19891;	795;1215;1695;	v1.0 (11-03-2020)	-
CUEN23-1_SAMEA111330843_ISOG.scaffolds.min200	-	O75/O1	H7	O75/O1:H7	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O75-6-wzx/O1-1-wzx-origin;O75-11-wzy/O1-6-wzy;H7-3-fliC-origin;	100;100;100;	100;100;100;	CUEN23-1_SAMEA111330843_ISOG-scaffold_42/CUEN23-1_SAMEA111330843_ISOG-scaffold_171;CUEN23-1_SAMEA111330843_ISOG-scaffold_100/CUEN23-1_SAMEA111330843_ISOG-scaffold_42;CUEN23-1_SAMEA111330843_ISOG-scaffold_4;	281-1813/924-2150;4418-5422/3297-4370;86381-88138;	1533/1227;1074/1005;1758;	v1.0 (11-03-2020)	-
CUEN23-1_SAMEA111330844_ISOG.scaffolds.min200	-	O6	H1	O6:H1	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O6-1-wzx-origin;O6-7-wzy-origin;H1-1-fliC-origin;	100;100;100;	100;100;100;	CUEN23-1_SAMEA111330844_ISOG-scaffold_3;CUEN23-1_SAMEA111330844_ISOG-scaffold_3;CUEN23-1_SAMEA111330844_ISOG-scaffold_7;	365319-366575;366575-367918;195594-197381;	1257;1344;1788;	v1.0 (11-03-2020)	-
CUEN23-1_SAMEA111330845_ISOG.scaffolds.min200	-	O6	H1	O6:H1	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O6-1-wzx-origin;O6-7-wzy-origin;H1-1-fliC-origin;	100;100;100;	100;100;100;	CUEN23-1_SAMEA111330845_ISOG-scaffold_3;CUEN23-1_SAMEA111330845_ISOG-scaffold_3;CUEN23-1_SAMEA111330845_ISOG-scaffold_1;	37079-38335;35736-37079;177704-179491;	1257;1344;1788;	v1.0 (11-03-2020)	-
CUEN23-1_SAMEA111330846_ISOG.scaffolds.min200	-	O6	H1	O6:H1	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O6-1-wzx-origin;O6-7-wzy-origin;H1-1-fliC-origin;	100;100;100;	100;100;100;	CUEN23-1_SAMEA111330846_ISOG-scaffold_3;CUEN23-1_SAMEA111330846_ISOG-scaffold_3;CUEN23-1_SAMEA111330846_ISOG-scaffold_1;	400492-401748;401748-403091;393840-395627;	1257;1344;1788;	v1.0 (11-03-2020)	-
CUEN23-1_SAMEA111330847_ISOG.scaffolds.min200	-	O1	H7	O1:H7	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O1-1-wzx-origin;O1-6-wzy;H7-3-fliC-origin;	100;100;100;	100;100;100;	CUEN23-1_SAMEA111330847_ISOG-scaffold_4;CUEN23-1_SAMEA111330847_ISOG-scaffold_4;CUEN23-1_SAMEA111330847_ISOG-scaffold_1;	32480-33706;29208-30212;111392-113149;	1227;1005;1758;	v1.0 (11-03-2020)	-
CUEN23-1_SAMEA111330848_ISOG.scaffolds.min200	-	O1	H7	O1:H7	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O1-1-wzx-origin;O1-6-wzy;H7-3-fliC-origin;	100;100;100;	100;100;100;	CUEN23-1_SAMEA111330848_ISOG-scaffold_15;CUEN23-1_SAMEA111330848_ISOG-scaffold_15;CUEN23-1_SAMEA111330848_ISOG-scaffold_2;	84146-85372;87640-88644;94840-96597;	1227;1005;1758;	v1.0 (11-03-2020)	-
