genome	ANI98	ANI99
GCA_000005845.2	GCA_000005845.2	GCA_000005845.2
GCA_000006665.1	GCA_000005845.2	GCA_000006665.1
GCA_000007445.1	GCA_000007445.1	GCA_000007445.1
GCA_000008865.2	GCA_000005845.2	GCA_000006665.1
GCA_000009565.2	GCA_000005845.2	GCA_000005845.2
GCA_000010245.1	GCA_000005845.2	GCA_000005845.2
GCA_000010385.1	GCA_000005845.2	GCA_000010385.1
GCA_000010485.1	GCA_000007445.1	GCA_000010485.1
GCA_000010745.1	GCA_000005845.2	GCA_000010745.1
GCA_000010765.1	GCA_000005845.2	GCA_000010765.1
GCA_000013265.1	GCA_000007445.1	GCA_000007445.1
GCA_000013305.1	GCA_000007445.1	GCA_000013305.1
GCA_000014845.1	GCA_000007445.1	GCA_000014845.1
GCA_000017745.1	GCA_000005845.2	GCA_000010385.1
GCA_000017765.1	GCA_000005845.2	GCA_000017765.1
GCA_000017985.1	GCA_000005845.2	GCA_000005845.2
GCA_000019385.1	GCA_000005845.2	GCA_000005845.2
GCA_000019425.1	GCA_000005845.2	GCA_000005845.2
GCA_000019645.1	GCA_000019645.1	GCA_000019645.1
GCA_000021125.1	GCA_000005845.2	GCA_000006665.1
GCA_000022225.1	GCA_000005845.2	GCA_000006665.1
GCA_000022345.1	GCA_000005845.2	GCA_000005845.2
GCA_000022665.2	GCA_000005845.2	GCA_000005845.2
GCA_000023365.1	GCA_000005845.2	GCA_000005845.2
GCA_000023665.1	GCA_000005845.2	GCA_000005845.2
GCA_000025165.1	GCA_000005845.2	GCA_000006665.1
GCA_000025745.1	GCA_000007445.1	GCA_000013305.1
GCA_000026245.1	GCA_000005845.2	GCA_000026245.1
GCA_000026265.1	GCA_000005845.2	GCA_000010385.1
GCA_000026285.1	GCA_000007445.1	GCA_000014845.1
GCA_000026305.1	GCA_000007445.1	GCA_000026305.1
GCA_000026325.1	GCA_000026325.1	GCA_000026325.1
GCA_000026345.1	GCA_000019645.1	GCA_000026345.1
GCA_000026545.1	GCA_000007445.1	GCA_000026545.1
GCA_000027125.1	GCA_000026325.1	GCA_000027125.1
GCA_000091005.1	GCA_000005845.2	GCA_000010385.1
GCA_000146735.1	GCA_000005845.2	GCA_000005845.2
GCA_000147755.2	GCA_000005845.2	GCA_000010385.1
GCA_000148365.1	GCA_000007445.1	GCA_000007445.1
GCA_000148605.1	GCA_000007445.1	GCA_000007445.1
GCA_000155125.1	GCA_000005845.2	GCA_000006665.1
GCA_000157115.2	GCA_000007445.1	GCA_000014845.1
GCA_000158395.1	GCA_000005845.2	GCA_000010385.1
GCA_000159295.1	GCA_000007445.1	GCA_000007445.1
GCA_000163155.1	GCA_000005845.2	GCA_000010385.1
GCA_000163175.1	GCA_000005845.2	GCA_000163175.1
GCA_000163195.1	GCA_000026325.1	GCA_000163195.1
GCA_000163215.1	GCA_000026325.1	GCA_000026325.1
GCA_000163235.1	GCA_000026325.1	GCA_000026325.1
GCA_000164195.1	GCA_000026325.1	GCA_000026325.1
GCA_000164215.1	GCA_000005845.2	GCA_000164215.1
GCA_000164235.1	GCA_000005845.2	GCA_000164235.1
GCA_000164255.1	GCA_000005845.2	GCA_000010385.1
GCA_000164275.1	GCA_000005845.2	GCA_000005845.2
GCA_000164295.1	GCA_000007445.1	GCA_000007445.1
GCA_000164315.1	GCA_000026325.1	GCA_000164315.1
GCA_000164335.1	GCA_000005845.2	GCA_000164335.1
GCA_000164355.1	GCA_000019645.1	GCA_000164355.1
GCA_000164375.1	GCA_000005845.2	GCA_000010385.1
GCA_000164415.1	GCA_000007445.1	GCA_000014845.1
GCA_000164435.1	GCA_000007445.1	GCA_000007445.1
GCA_000164455.1	GCA_000005845.2	GCA_000010385.1
GCA_000164475.1	GCA_000005845.2	GCA_000005845.2
GCA_000164495.1	GCA_000007445.1	GCA_000007445.1
GCA_000164535.1	GCA_000007445.1	GCA_000013305.1
GCA_000164555.1	GCA_000005845.2	GCA_000005845.2
GCA_000164575.1	GCA_000007445.1	GCA_000007445.1
GCA_000164595.1	GCA_000007445.1	GCA_000013305.1
GCA_000164615.1	GCA_000007445.1	GCA_000007445.1
GCA_000165655.2	GCA_000005845.2	GCA_000005845.2
GCA_000166535.2	GCA_000005845.2	GCA_000005845.2
GCA_000166555.2	GCA_000005845.2	GCA_000166555.2
GCA_000166575.2	GCA_000005845.2	GCA_000010385.1
GCA_000166595.2	GCA_000005845.2	GCA_000166595.2
GCA_000166615.2	GCA_000005845.2	GCA_000164215.1
GCA_000167815.1	GCA_000005845.2	GCA_000026245.1
GCA_000167835.1	GCA_000007445.1	GCA_000013305.1
GCA_000167855.1	GCA_000005845.2	GCA_000010745.1
GCA_000167875.1	GCA_000005845.2	GCA_000167875.1
GCA_000167915.2	GCA_000005845.2	GCA_000005845.2
GCA_000168095.1	GCA_000005845.2	GCA_000164335.1
GCA_000171915.1	GCA_000005845.2	GCA_000006665.1
GCA_000171935.1	GCA_000171935.1	GCA_000006665.1
GCA_000171955.1	GCA_000171935.1	GCA_000006665.1
GCA_000171975.1	GCA_000171935.1	GCA_000006665.1
GCA_000171995.1	GCA_000171935.1	GCA_000006665.1
GCA_000172015.1	GCA_000171935.1	GCA_000006665.1
GCA_000172035.1	GCA_000171935.1	GCA_000006665.1
GCA_000172055.1	GCA_000171935.1	GCA_000006665.1
GCA_000175735.1	GCA_000171935.1	GCA_000006665.1
GCA_000175755.1	GCA_000171935.1	GCA_000006665.1
GCA_000176535.2	GCA_000005845.2	GCA_000005845.2
GCA_000176555.2	GCA_000007445.1	GCA_000176555.2
GCA_000176575.2	GCA_000005845.2	GCA_000176575.2
GCA_000176595.2	GCA_000007445.1	GCA_000007445.1
